Room Name,Question,Option,Votes,Percentage,Status,Created
"Intuitive fault-tolerant protocol","Callide spargo officiis abundans.?","technologist geez",17,42.50%,active,"2025-12-29T06:23:25.338Z"
"Intuitive fault-tolerant protocol","Callide spargo officiis abundans.?","worth psst",13,32.50%,active,"2025-12-29T06:23:25.338Z"
"Intuitive fault-tolerant protocol","Callide spargo officiis abundans.?","blah golden",10,25.00%,active,"2025-12-29T06:23:25.338Z"
"Intuitive fault-tolerant protocol","Tremo triduana fugit sulum dens spectaculum thesis.?","upwardly thigh",12,30.77%,active,"2025-12-28T22:57:33.060Z"
"Intuitive fault-tolerant protocol","Tremo triduana fugit sulum dens spectaculum thesis.?","versus silver",14,35.90%,active,"2025-12-28T22:57:33.060Z"
"Intuitive fault-tolerant protocol","Tremo triduana fugit sulum dens spectaculum thesis.?","unzip mainstream",13,33.33%,active,"2025-12-28T22:57:33.060Z"
"Intuitive fault-tolerant protocol","Possimus cohibeo thesaurus arx damnatio ipsam.?","splay urgently",15,30.61%,active,"2025-12-28T22:25:49.901Z"
"Intuitive fault-tolerant protocol","Possimus cohibeo thesaurus arx damnatio ipsam.?","repurpose while",23,46.94%,active,"2025-12-28T22:25:49.901Z"
"Intuitive fault-tolerant protocol","Possimus cohibeo thesaurus arx damnatio ipsam.?","what woot",11,22.45%,active,"2025-12-28T22:25:49.901Z"
"Intuitive fault-tolerant protocol","Theatrum sunt ullam voluptates coaegresco confero vociferor exercitationem pel absum.?","foolish sore",11,31.43%,active,"2025-12-29T08:04:07.704Z"
"Intuitive fault-tolerant protocol","Theatrum sunt ullam voluptates coaegresco confero vociferor exercitationem pel absum.?","along peppery",13,37.14%,active,"2025-12-29T08:04:07.704Z"
"Intuitive fault-tolerant protocol","Theatrum sunt ullam voluptates coaegresco confero vociferor exercitationem pel absum.?","obediently beneath",11,31.43%,active,"2025-12-29T08:04:07.704Z"
